                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86619,                0.66994,                  1.093,                  0.986,                0.96457,                0.98795,                0.64812,                 1.1361,                0.66211,                 1.2508,              0.0006932,              0.0006932,              0.0006932
                     36,                 0.8244,                0.62557,                   1.05,                0.98424,                 0.9863,                0.99222,                0.64693,                 1.1614,                0.63857,                 1.2685,              0.0006536,              0.0006536,              0.0006536
                     37,                0.92368,                  0.675,                 1.0897,                0.98629,                0.98538,                0.99129,                0.66177,                 1.1734,                0.61462,                  1.291,               0.000614,               0.000614,               0.000614
                     38,                0.97355,                 0.6912,                 1.1089,                0.98563,                 0.9726,                0.99064,                0.67974,                 1.1124,                0.56957,                 1.2822,              0.0005744,              0.0005744,              0.0005744
                     39,                0.93608,                0.66371,                 1.0824,                0.98628,                0.98444,                0.99432,                0.67978,                    1.1,                0.55779,                 1.2972,              0.0005348,              0.0005348,              0.0005348
                     40,                0.98985,                0.67264,                 1.0882,                0.98647,                0.99846,                0.99432,                0.66724,                 1.1239,                0.56718,                  1.286,              0.0004952,              0.0004952,              0.0004952
                     41,                0.86087,                0.73133,                 1.0737,                0.98647,                0.99879,                0.99392,                0.67772,                 1.1179,                0.55812,                 1.2581,              0.0004556,              0.0004556,              0.0004556
                     42,                0.87763,                0.70571,                 1.0522,                0.98646,                0.99823,                0.99446,                0.67991,                  1.114,                0.59242,                 1.2558,               0.000416,               0.000416,               0.000416
                     43,                 0.8835,                 0.7151,                 1.0723,                0.98628,                0.98485,                0.99432,                0.67489,                 1.1551,                0.59056,                 1.2977,              0.0003764,              0.0003764,              0.0003764
                     44,                0.82312,                0.64567,                  1.047,                0.97329,                0.99846,                0.99447,                0.65485,                 1.2002,                0.59713,                 1.3218,              0.0003368,              0.0003368,              0.0003368
                     45,                0.88338,                0.65297,                 1.0501,                  0.986,                 0.9863,                 0.9946,                0.64901,                 1.2136,                0.62682,                  1.316,              0.0002972,              0.0002972,              0.0002972
                     46,                0.85569,                0.62778,                 1.0491,                0.98647,                0.99846,                0.99473,                0.64629,                 1.1913,                0.60568,                  1.296,              0.0002576,              0.0002576,              0.0002576
                     47,                  0.841,                0.64354,                 1.0289,                0.98646,                0.99835,                0.99446,                0.64951,                 1.1468,                 0.5892,                 1.2874,               0.000218,               0.000218,               0.000218
                     48,                0.81287,                0.60941,                 1.0503,                0.98646,                0.99825,                0.99473,                0.66077,                 1.1462,                0.56709,                  1.287,              0.0001784,              0.0001784,              0.0001784
                     49,                0.82917,                0.60475,                 1.0396,                0.98646,                0.99815,                0.99473,                0.65731,                 1.1517,                0.55489,                 1.2856,              0.0001388,              0.0001388,              0.0001388
                     50,                0.82623,                0.62711,                 1.0197,                0.98647,                0.99871,                0.99473,                0.65782,                  1.155,                0.54367,                 1.2795,               9.92e-05,               9.92e-05,               9.92e-05
